OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-11-05T04:46:30.245952,13.76287171,.00244333,90.2202,66.5834,247.3654,184.5880,0,U,900,999,4061,.89145952E-3,.88E-5,0
CALSPHERE 2,1964-063E,2025-11-05T07:15:22.906944,13.52877765,.00194816,90.2343,70.5065,152.3225,268.7926,0,U,902,999,82599,.6912208E-4,.55E-6,0
LCS 1,1965-034C,2025-11-04T11:54:21.802752,9.89309122,.001339,32.1462,350.5213,46.1865,313.9738,0,U,1361,999,18763,.35332E-3,.11E-6,0
TEMPSAT 1,1965-065E,2025-11-05T06:17:59.379648,13.33577378,.00701939,89.9900,212.7012,156.0645,331.0513,0,U,1512,999,93020,.11774144E-3,.68E-6,0
CALSPHERE 4A,1965-065H,2025-11-05T06:46:25.655232,13.36228739,.00701318,89.9080,124.5709,16.8869,157.3001,0,U,1520,999,93280,.20341922E-3,.115E-5,0
OPS 5712 (P/L 160),1967-053A,2025-11-05T05:44:56.790816,14.73237183,.00047963,69.9194,225.4943,305.3347,54.7350,0,U,2826,999,3319,.15713797E-2,.10104E-3,0
LES-5,1967-066E,2025-11-04T20:31:45.265728,1.09425046,.00549882,2.1055,103.8764,197.4569,223.3590,0,U,2866,999,12858,0,-.34E-6,0
SURCAL 159,1967-053F,2025-11-04T21:19:00.250176,13.99524062,.00050732,69.9718,123.7959,24.5868,335.5481,0,U,2872,999,97882,.1259241E-3,.13E-5,0
OPS 5712 (P/L 153),1967-053H,2025-11-05T04:45:01.513152,13.96780390,.00052252,69.9734,235.3904,146.8735,213.2699,0,U,2874,999,97550,.74547619E-4,.5E-6,0
OPS 3811 (DSP 2),1971-039A,2025-11-05T04:03:01.608768,0.98160802,.00237027,0.3915,305.4853,336.4702,137.2338,0,U,5204,999,20403,0,-.123E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-11-05T06:54:32.125248,14.37460615,.00581944,87.6237,40.9415,254.9204,104.5552,0,U,5398,999,84171,.35479299E-3,.1099E-4,0
OSCAR 7 (AO-7),1974-089B,2025-11-04T23:35:51.737280,12.53693080,.00120973,101.9979,314.8511,198.1892,189.6315,0,U,7530,999,33242,.97993674E-4,-.31E-6,0
STARLETTE,1975-010A,2025-11-05T04:49:21.927936,13.82346121,.02056619,49.8234,268.7116,43.0736,318.6049,0,U,7646,999,56355,.11509217E-4,-.131E-5,0
LAGEOS 1,1976-039A,2025-11-05T05:22:11.707968,6.38664842,.0044663,109.8397,102.6386,350.2193,180.8328,0,U,8820,999,89883,0,.15E-6,0
OPS 8701 (DSP 10),1982-019A,2025-11-05T00:25:22.469088,0.98187776,.00062695,9.7496,310.7990,293.3725,77.7524,0,U,13086,999,2346,0,-.33E-6,0
PHASE 3B (AO-10),1983-058B,2025-11-04T00:42:55.576224,2.05869386,.60673918,26.1606,257.7790,52.8539,348.4947,0,U,14129,999,29085,0,.237E-5,0
UOSAT 2 (UO-11),1984-021B,2025-11-04T20:26:24.632736,14.89943351,.00070187,97.7751,272.4859,194.3754,165.7265,0,U,14781,999,22371,.22658853E-3,.2127E-4,0
AJISAI (EGS),1986-061A,2025-11-05T05:38:52.177632,12.44514155,.00111567,50.0068,116.0403,331.3080,78.6186,0,U,16908,999,45250,.2443432E-4,-.94E-6,0
TDRS 3,1988-091B,2025-11-04T22:54:09.118080,1.00267616,.00399266,12.7743,342.4778,340.4048,16.2198,0,U,19548,999,12313,0,-.294E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2025-11-05T04:53:38.889312,2.13155919,.00234296,64.8159,79.8632,216.9664,312.4085,0,U,19751,999,28659,0,.8E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2025-11-04T13:30:30.947616,2.13204419,.00204359,65.0723,318.2700,214.3949,301.8018,0,U,20026,999,28371,0,-.17E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2025-11-04T23:43:48.952992,1.00267000,.00060901,12.4849,352.5020,253.1250,280.4805,0,U,20253,999,25831,0,-.361E-5,0
LUSAT (LO-19),1990-005G,2025-11-05T06:54:02.768256,14.34020557,.00122862,98.8985,319.7884,138.9683,221.2427,0,U,20442,999,87030,.82899741E-4,.185E-5,0
HST,1990-037B,2025-11-04T21:39:13.963680,15.27312898,.00017923,28.4662,169.8920,162.0286,198.0372,0,U,20580,999,75420,.24372759E-3,.6932E-4,0
SKYNET 4C,1990-079A,2025-11-03T18:11:01.550112,1.00273428,.0006261,13.4146,351.3440,162.5734,195.5312,0,U,20776,999,12862,0,.133E-5,0
USA 65 (DSP 15),1990-095A,2025-11-04T19:47:34.499040,0.98397602,.00020798,14.1447,345.5926,125.4018,248.4512,0,U,20929,999,2326,0,-.135E-5,0
TDRS 5,1991-054B,2025-11-04T08:38:09.444192,1.00268358,.00148376,14.0992,355.4269,253.3961,116.9458,0,U,21639,999,12546,0,.9E-6,0
USA 75 (DSP 16),1991-080B,2025-11-04T09:06:42.414048,0.99189742,.00024626,14.1266,347.1031,147.2456,211.9223,0,U,21805,999,2347,0,-.245E-5,0
